text	sentiment
a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.	1
Pretty awesome place.	0
Ambience is perfect.	0
Best of luck to the rude and non-customer service focused new management.	1
Any grandmother can make a roasted chicken better than this one.	1
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	1
The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!	0
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !	0
The roast beef sandwich tasted really good!	0
Same evening, him and I are both drastically sick.	1
High-quality chicken on the chicken Caesar salad.	0
Ordered burger rare came in we'll done.	1
We were promptly greeted and seated.	0
Tried to go here for lunch and it was a madhouse.	1
I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.	0
After waiting an hour and being seated, I was not in the greatest of moods.	1
This is a good joint.	0
The Macarons here are insanely good.	0
I'm not eating here!	1
Our waiter was very attentive, friendly, and informative.	0
Maybe if they weren't cold they would have been somewhat edible.	1
This place has a lot of promise but fails to deliver.	1
Very bad Experience!	1
What a mistake.	1
Food was average at best.	1
Great food.	0
We won't be going back anytime soon!	1
Very Very Disappointed ordered the $35 Big Bay Plater.	1
Great place to relax and have an awesome burger and beer.	0
It is PERFECT for a sit-down family meal or get together with a few friends.	0
Not much flavor to them, and very poorly constructed.	1
The patio seating was very comfortable.	0
The fried rice was dry as well.	1
Hands down my favorite Italian restaurant!	0
That just SCREAMS "LEGIT" in my book...somethat's also pretty rare here in Vegas.	0
It was just not a fun experience.	0
The atmosphere was great with a lovely duo of violinists playing songs we requested.	0
I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).	0
Very convenient, since we were staying at the MGM!	0
The owners are super friendly and the staff is courteous.	0
Both great!	0
Eclectic selection.	0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.	0
The staff was very attentive.	0
And the chef was generous with his time (even came around twice so we can take pictures with him).	0
The owner used to work at Nobu, so this place is really similar for half the price.	0
Google mediocre and I imagine Smashburger will pop up.	1
dont go here.	1
I promise they won't disappoint.	0
As a sushi lover avoid this place by all means.	1
What a great double cheeseburger!	0
Awesome service and food.	0
A fantastic neighborhood gem !!!	0
I can't wait to go back.	0
The plantains were the worst I've ever tasted.	1
It's a great place and I highly recommend it.	0
Service was slow and not attentive.	1
I gave it 5 stars then, and I'm giving it 5 stars now.	0
Your staff spends more time talking to themselves than me.	1
Dessert: Panna Cotta was amazing.	0
Very good food, great atmosphere.0	0
Damn good steak.	0
Total brunch fail.	1
Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.	0
The decor is nice, and the piano music soundtrack is pleasant.	0
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	0
Good food , good service .	0
It was absolutely amazing.	0
I probably won't be back, to be honest.	1
will definitely be back!	0
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.	0
Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.	0
Went for lunch - service was slow.	1
We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.	1
I was mortified.	1
Needless to say, we will never be back here again.	1
Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.	1
The chips that came out were dripping with grease, and mostly not edible.	1
I wasn't really impressed with Strip Steak.	1
Have been going since 2117 and every meal has been awesome!!	0
Our server was very nice and attentive as were the other serving staff.	0
The cashier was friendly and even brought the food out to me.	0
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.	1
The atmosphere here is fun.	0
Would not recommend to others.	1
Service is quick and even "to go" orders are just like we like it!	0
I mean really, how do you get so famous for your fish and chips when it's so terrible!?!	1
That said, our mouths and bellies were still quite pleased.	0
Not my thing.	1
2 Thumbs Up!!	0
If you are reading this please don't go there.	1
I loved the grilled pizza, reminded me of legit Italian pizza.	0
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!	0
They have a really nice atmosphere.	0
Tonight I had the Elk Filet special...and it sucked.	1
After one bite, I was hooked.	0
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.	1
Cute, quaint, simple, honest.	0
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	0
The food was great as always, compliments to the chef.	0
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.	0
Awesome selection of beer.	0
Great food and awesome service!	0
One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.	0
A FLY was in my apple juice.. A FLY!!!!!!!!	1
The Han Nan Chicken was also very tasty.	0
As for the service, I thought it was good.	0
The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.	1
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.	1
Nicest Chinese restaurant I've been in a while.	0
Overall, I like there food and the service.	0
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.	0
Probably never coming back, and wouldn't recommend it.	1
Friend's pasta -- also bad, he barely touched it.	1
Try them in the airport to experience some tasty food and speedy, friendly service.	0
I love the decor with the Chinese calligraphy wall paper.	0
Never had anything to complain about here.	0
The restaurant is very clean and has a family restaurant feel to it.	0
It was way over fried.	1
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.	1
When I opened the sandwich, I was impressed, but not in a good way.	1
Will not be back!	1
There was a warm feeling with the service and I felt like their guest for a special treat.	0
An extensive menu provides lots of options for breakfast.	0
I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.	0
I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!	1
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.	0
I got to enjoy the seafood salad, with a fabulous vinegrette.	0
The wontons were thin, not thick and chewy, almost melt in your mouth.	0
Level 5 spicy was perfect, where spice didn't over-whelm the soup.	0
We were sat right on time and our server from the get go was FANTASTIC!	0
Main thing I didn't enjoy is that the crowd is of older crowd, around mid 31s and up.	1
When I'm on this side of town, this will definitely be a spot I'll hit up again!	0
I had to wait over 31 minutes to get my drink and longer to get 2 arepas.	1
This is a GREAT place to eat!	0
The jalapeno bacon is soooo good.	0
The service was poor and thats being nice.	1
Food was good, service was good, Prices were good.	0
The place was not clean and the food oh so stale!	1
The chicken dishes are OK, the beef is like shoe leather.	1
But the service was beyond bad.	1
I'm so happy to be here!!!"	0
Tasted like dirt.	1
One of the few places in Phoenix that I would definately go back to again .	0
The block was amazing.	0
It's close to my house, it's low-key, non-fancy, affordable prices, good food.	0
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!	0
My sashimi was poor quality being soggy and tasteless.	1
Great time - family dinner on a Sunday night.	0
the food is not tasty at all, not to say its "real traditional Hunan style".	1
What did bother me, was the slow service.	1
The flair bartenders are absolutely amazing!	0
Their frozen margaritas are WAY too sugary for my taste.	1
These were so good we ordered them twice.	0
So in a nutshell: 0) The restaraunt smells like a combination of a dirty fish market and a sewer.	1
My girlfriend's veal was very bad.	1
Unfortunately, it was not good.	1
I had a pretty satifying experience.	0
Join the club and get awesome offers via email.	0
Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.	0
Bland and flavorless is a good way of describing the barely tepid meat.	1
The chains, which I'm no fan of, beat this place easily.	1
The nachos are a MUST HAVE!	0
We will not be coming back.	1
I don't have very many words to say about this place, but it does everything pretty well.	0
The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.	0
Great atmosphere, friendly and fast service.	0
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.	0
Once your food arrives it's meh.	1
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.	1
The classic Maine Lobster Roll was fantastic.	0
My brother in law who works at the mall ate here same day, and guess what he was sick all night too.	1
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.	0
The chips and salsa were really good, the salsa was very fresh.	0
This place is great!!!!!!!!!!!!!!	0
Mediocre food.	1
Once you get inside you'll be impressed with the place.	0
I'm super pissd.	1
And service was super friendly.	0
Why are these sad little vegetables so overcooked?	1
This place was such a nice surprise!	0
They were golden-crispy and delicious.	0
I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.	1
I could eat their bruschetta all day it is devine.	0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	1
Lastly, the mozzarella sticks, they were the best thing we ordered.	0
The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.	0
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!	1
The service was terrible though.	1
This place is overpriced, not consistent with their boba, and it really is OVERPRICED!	1
It was packed!!	1
I love this place.	0
I can say that the desserts were yummy.	0
The food was terrible.	1
The seasonal fruit was fresh white peach puree.	0
It kept getting worse and worse so now I'm officially done.	1
This place should honestly be blown up.	1
But I definitely would not eat here again.	1
Do not waste your money here!	1
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.	0
The crêpe was delicate and thin and moist.	0
Awful service.	1
Won't ever go here again.	1
Food quality has been horrible.	1
For that price I can think of a few place I would have much rather gone.	1
The service here is fair at best.	1
I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.	1
Do yourself a favor and stay away from this dish.	1
Very poor service.	1
No one at the table thought the food was above average or worth the wait that we had for it.	1
Best service and food ever, Maria our server was so good and friendly she made our day.	0
They were excellent.	0
I paid the bill but did not tip because I felt the server did a terrible job.	1
Just had lunch here and had a great experience.	0
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.	1
Food is way overpriced and portions are fucking small.	1
I recently tried Caballero's and I have been back every week since!	0
for 41 bucks a head, i really expect better food.	1
The food came out at a good pace.	0
I ate there twice on my last visit, and especially enjoyed the salmon salad.	0
I won't be back.	1
We could not believe how dirty the oysters were!	1
This place deserves no stars.	1
I would not recommend this place.	1
In fact I'm going to round up to 4 stars, just because she was so awesome.	0
To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.	1
Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!	1
the potatoes were great and so was the biscuit.	0
I probably would not go here again.	1
So flavorful and has just the perfect amount of heat.	0
The price is reasonable and the service is great.	0
The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.	1
My fella got the huevos rancheros and they didn't look too appealing.	1
Went in for happy hour, great list of wines.	0
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!	0
I probably won't be coming back here.	1
Worst food/service I've had in a while.	1
This place is pretty good, nice little vibe in the restaurant.	0
Talk about great customer service of course we will be back.	0
Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.	1
I love their fries and their beans.	0
Always a pleasure dealing with him.	0
They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.	0
This place is awesome if you want something light and healthy during the summer.	0
For sushi on the Strip, this is the place to go.	0
The service was great, even the manager came and helped with our table.	0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.	1
I started this review with two stars, but I'm editing it to give it only one.	1
this is the worst sushi i have ever eat besides Costco's.	1
All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.	0
My boyfriend and i sat at the bar and had a completely delightful experience.	0
Weird vibe from owners.	1
There was hardly any meat.	1
I've had better bagels from the grocery store.	1
Go To Place for Gyros.	0
I love the owner/chef, his one authentic Japanese cool dude!	0
Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.	1
I found a six inch long piece of wire in my salsa.	1
The service was terrible, food was mediocre.	1
We definately enjoyed ourselves.	0
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.	1
On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.	1
I had about two bites and refused to eat anymore.	1
The service was extremely slow.	1
After 21 minutes wait, I got a table.	1
Seriously killer hot chai latte.	0
No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.	1
My boyfriend tried the Mediterranean Chicken Salad and fell in love.	0
Their rotating beers on tap is also a highlight of this place.	0
Pricing is a bit of a concern at Mellow Mushroom.	1
Worst Thai ever.	1
If you stay in Vegas you must get breakfast here at least once.	0
I want to first say our server was great and we had perfect service.	0
The pizza selections are good.	0
I had strawberry tea, which was good.	0
Highly unprofessional and rude to a loyal patron!	1
Overall, a great experience.	0
